,Article
0,Konuk Yazar: gökçeGörsel: Bu görsel AI yardımıyla oluşturulmuştur.
1,
2,"Bir süredir Paris’teyim, bir süre daha Paris’te olacağım. Buraya geleceğimin kesinleştiği mart ayından bu yana taşıdığım birçok endişeden biri de ırkçılığa uğrama korkusuydu. “İki aylığına Paris’e gideceğim,” dediğim herkes bana iyi veya çoğunlukla kötü tecrübeleriyle birlikte gizli veya açık ırkçılık hikâyelerini de anlatmadan geçmiyordu. Başörtülü biri olarak Türkiye’de dahi pek çok önyargıya maruz kalıp birtakım sorunlar yaşarken muhafazakâr Fransızların arasında ne yapacaktım?Görünmez olmayı düşündüm önce. Yani eğer başörtüsü yerine başka bir şey —herkesin taktığı bir şey, şapka ya da bere mesela—  takarsam dikkat çekmeyeceğim geldi aklıma. İlk önce Paris’teki soğuk kış günlerinde kullanabileceğim —asla bu şeye gerçekten ihtiyaç duyacağım kadar soğumaz hava sanmıştım ama soğudu—  kulakları ve başı kapayan kürklü şapkayı aldım. Boğazlı kazak veya atkıyla gayet “görünmez” olabilecektim böylelikle. Ama bu şey, sadece soğuk günler ve dış mekân içindi. Peki ya içeride ne yapacaktım? "
3,"Arada bu mesele aklımı kurcalasa da üstünde çok fazla düşünmüyordum. Ta ki bir gün Kadıköy’de başörtülü bir kızın bandana taktığını görene dek. Sonra bir dönem moda olan —belli ki modası geçmiş, çünkü bulmak bayağı zor oldu— düz, boğazlı bonelerden aldım. Üstüne bandana da takınca ilk bakışta kimsenin başörtülü olduğumu anlayamayacağı bir şekle bürünmüştüm.İstanbul’dayken alışmaya çalıştığım bu bandana tarzımla alakalı iyi-kötü onlarca yorum duydum. Sadece samimi olduğum birkaç arkadaşıma, bunun gerçek sebebini anlatabildim. Fakat anlatmadığım diğer bir kısım arkadaşımın beni anladığına emindim. Bandanayla birlikte aynı şekilde, bone üstüne fötr şapka da takmaya başladım. Özellikle yazın güneş ışığı çok rahatsız ettiğinden iki yönlü bir işlevi olmuştu şapka takmanın benim için. Buraya geldiğimden bu yana çoğunlukla şapka, bazen bandana, nadiren ise başörtüsü (şal) takıyorum. İlk bir ayım dolduktan sonra çevremdekilerin popüler sorusu “Irkçılığa uğradın mı?” oldu. Ten rengimden dolayı “Doğulu” olduğum kolay kolay anlaşılmadığından —ve elbette şapkalarım sayesinde— şimdiye dek ırkçılığa maruz kaldığımı söylemek doğru olmaz. Bana bu konuda sorular soranları, yaşadıklarımı merak edenleri de “Beyaz tenliyim ya beni Rus sanıyorlar herhalde.” cevabıyla geçiştiriyorum. Tabii ki benim direkt olarak ırkçılığa maruz kalmamam olmadığı anlamına da gelmiyor."
4,"Bir de başka hikâyelere bakalım. Göçmenlerin, özellikle Müslüman göçmenlerin yoğun olduğu bir bölgede yaşıyorum. Kaldığım apartın altındaki market, İstanbul’daki mahallemdekinden farklı değil. O derece çok Müslüman ve başörtülü var. Geçenlerde mahalleden bindiğim bir otobüste bereli bir kadına rastladım. Altına giydiği boğazlı boneden, başörtülü olduğunu hemen anladım. Bugün kebapçıda yemek yerken içeri giren bereli ablanın ise —altında bonesi olmadığından olsa gerek— Müslüman olduğunu anlamam için selam vermesi gerekti. Viyana’da bitpazarından tanıştığım başka bir kadının da “Şimdi bere takıyorum ama ben de aslında başörtülüyüm. Burada ırkçılık çok fazla. Arkadaşıma destek olmak için onu kıramadığımdan yardıma geldim.” dediği aklıma geldi. Yine Viyana’da bir müzeden çıkarken güvenlik görevlisi arkadaşımın başörtüsünü görüp Müslüman olduğumuzu düşünerek bizi “Selamun aleyküm” ile uğurladı."
5,"Geçenlerde arkadaşım bir tesettür firmasının reels’ını gönderdi. Marka mankenine tıpkı benimki gibi bir bone ile fötr şapka taktrmıştı başörtüsü yerine. İzledikten sonra altındaki yorumlardan birkaçı gözüme ilişti: “Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok. Doğruydu, şapka “Şapka Kanunu”ndan bu yana bu ülkenin medeniyet kriterlerinden biri olmuş, 28 Şubat sürecinde bu sefer bambaşka bir imgeye bürünmüştü. 28 Şubat’ı yaşamadığımdan veya asla tam manasıyla protest olmayı beceremediğimden belki, yukarıdakine benzer yorumlar beni pek de etkilemiyor. Aslında sadece şunu düşünüyorum; “Başörtüsü bir simgedir.” diyenler haklıymış. Burada kendimi çoğunlukla kimliksiz gibi hissediyorum. Kimseyi tanımadığım bu yerde hiç tanımadığım birinin bana “Selamun aleyküm!” dememesinin eksikliğini hissediyorum bazen. Hele de dünyada Müslümanlara böylesi bir soykırım uygulanıyor ve her geçen gün önyargılar artıyorken birlik olma ihtiyacı da artıyor. "
6,Sonra aklıma burada doktora yapan başörtülü arkadaşımın iki dakika arayla söylediği şu iki cümle geliyor: 
7,“Burada akademi çok özgür.” 
8,“Burada (akademide) başörtülü çalışman mümkün değil.” 
9,Sahiden onca Müslüman insanla karşılaşmama rağmen hiçbir başörtülü çalışan görmeyişime bir kez daha şaşırıyorum.
